Country	Level of Violence (va)	Per Capita Income (yb)	Income Distribution (Ac)	Per Capita Income Growth (Gd)	Socio Economic Mobility (Me)	Communication Intensity (Rf)	Concentration Factor (U8)	Population (Ph)
Argentina	217.00	490.00	0.20	0.40	82.00	175.00	48.30	20346.00
Belgium	0.90	1196.00	0.05	2.30	123.60	298.00	32.00	91.84.00
Brazil	1.00	293.00	0.29	2.80	20.90	64.30	28.10	73238.00
Chile	2.00	379.00	0.23	0.60	51.20	130.20	46.30	7827.00
Colombia	316.00	263.00	0.18	2.10	22.60	139.50	22.40	14443.00
Denmark	0.00	1057.00	0.13	3.40	77.10	365.00	48.50	4617.00
18.00	189.00	0.20	1.10	24.40	40.60	17.80	4455.00
0.00	794.00	0.09	4.00	88.70	289.00	31.20	4467.00
Germany	(Fed.	Rep.	of)	0.02	927.00	0.11	5.70	85.80	319.00	47.60	54027.00
India	14.00	73.00	0.21	1.40	35.20	5.00	12.00	442195.00
Indonesia	860.00	131.00	0.20	1.70	10.70	7.40	9.10	95666.00
Iran	36.00	108.00	0.20	1.50	17.30	65.30	21.00	20678.00
Israel	3.00	726.00	0.06	6.30	84.90	194.00	60.90	2185.00
Italy	0.20	516.00	0.15	5.40	56.80	170.00	30.30	49455.00
Japan	0.10	306.00	0.09	8.80	111.40	106.70	43.10	94050.00
Mexico	4.00	262.00	0.10	3.00	33.00	96.90	24.00	36091.00
Netherlands	0.00	836.00	0.15	3.40	133.70	263.00	49.80	11637.00
Norway	0.00	1130.00	0.19	2.70	73.80	286.00	32.80	3611.00
Pakistan	9.00	70.00	0.17	0.60	25.20	3.00	8.00	94547.00
Peru	26.00	179.00	0.45	0.30	30.20	77.90	13.90	10820.00
Portugal	1.00	224.00	0.19	4.30	40.80	98.10	16.50	8992.00
Spain	0.20	293.00	0.12	4.90	39.60	90.00	39.80	30559.00
Turkey	0.90	220.00	0.21	1.90	27.20	52.50	18.20	28602.00
United	Arab	Republic	1.60	142.00	0.18	2.10	40.10	65.80	29.10	26593.00
United	Kingdom	0.00	1189.00	0.06	2.20	121.60	289.00	66.90	52925.00
United	States	0.01	2577.00	0.12	1.10	261.30	948.00	52.00	183742.00
