Country	Gini Index	% of Farms with 1/2 Land	% of Farms Rented	Personnel Instability	Eckstein Internal War	Deaths from Civil Group Violence per 1,000,000	GNP per Capita ($1955)	% Labor Force in Agriculture
Yugoslavia	43.7	79.8	0*	8.5	9	5.0	297	67
Poland	45.0	77.7	0*	8.5	19	5.0	468	57
Denmark	45.8	79.3	3.5	14.6	0	0	913	23
Japan	47.0	81.5	2.9	15.7	22*	0.1	240	40
Canada	49.7	82.9	7.2	11.3	0	0	1667	7
Switzerland	49.8	81.5	18.9	8.5	0	0	1229	10
India	52.2	86.9	53.0	30.0	83	14.0	242	71
Philippines	56.4	88.2	37.3	14.0	15	292.0	201	59
Sweden	57.7	87.2	18.9	8.5	0	0	1165	8
France	58.3	86.1	26.0	16.3	46	0.3	1046	26
Belgium	58.7	85.8	6.3	15.5	8	0.9	1015	10
Ireland	59.8	85.9	2.5**	14.2	9	0	509	40
Finland	59.9	86.3	2.4	15.6	4	0	947	6
Netherlands	60.5	86.2	5.3	13.6	2	0	708	1
Luxembourg	63.8	87.0	1.8	12.8	0	0	1104	23
Taiwan	65.2	94.1	4.0	0	3	0	102	50
Norway	66.9	87.5	7.5	12.8	1	0	969	26
South Vietnam	67.1	94.6	20.0*	10.0	50*	1000*	133	65
West Germany	67.4	93.0	5.7	13.0	4	0	762	4
Libya	70.0	93.0	8.5	14.8	8	0	99	75
United States	70.5	95.4	20.4	12.8	22*	0	2343	10
United Kingdom	71.0	93.4	44.5	13.6	12	0	998	5
