Country,Date
Angola,8 April 1994
Antigua and Barbuda,30 March 1987
Argentina,11 October 1967
Australia,1 January 1948
Austria,19 October 1951
Bahrain,13 December 1993
Bangladesh,16 December 1972
Barbados,15 February 1967
Belgium,1 January 1948
Belize,7 October 1983
Benin,12 September 1963
Bolivia,8 September 1990
Botswana,28 August 1987
Brazil,30 July 1948
Brunei Darussalam,9 December 1993
Burkina Faso,3 May 1963
Burundi,13 March 1965
Cameroon,3 May 1963
Canada,1 January 1948
Central African Republic,3 May 1963
Chad,12 July 1963
Chile,16 March 1949
Colombia,3 October 1981
"Congo, Republic of",3 May 1963
Costa Rica,24 November 1990
Côte d'Ivoire,31 December 1963
Cuba,1 January 1948
Cyprus,15 July 1963
Czech Republic,15 April 1993
Denmark,28 May 1950
Djibouti,16 December 1994
Dominica,20 April 1993
Dominican Republic,19 May 1950
Egypt,9 May 1970
El Salvador,22 May 1991
Fiji,16 November 1993
Finland,25 May 1950
France,1 January 1948
Gabon,3 May 1963
The Gambia,22 February 1965
Germany,1 October 1951
Ghana,17 October 1957
Greece,1 March 1950
Grenada,9 February 1994
Guatemala,10 October 1991
Guinea,8 December 1994
Guinea Bissau,17 March 1994
Guyana,5 July 1966
Haiti,1 January 1950
Honduras,10 April 1994
Hong Kong,23 April 1986
Hungary,9 September 1973
Iceland,21 April 1968
India,8 July 1948
Indonesia,24 February 1950
Ireland,22 December 1967
Israel,5 July 1962
Italy,30 May 1950
Jamaica,31 December 1963
Japan,10 September 1955
Kenya,5 February 1964
"Korea, Republic of",14 April 1967
Kuwait,3 May 1963
Lesotho,8 January 1988
Liechtenstein,29 March 1994
Luxembourg,1 January 1948
Macao,11 January 1991
Madagascar,30 September 1963
Malawi,28 August 1964
Malaysia,24 October 1957
Maldives,19 April 1983
Mali,11 January 1993
Malta,17 November 1964
Mauritania,30 September 1963
Mauritius,2 September 1970
Mexico,24 August 1986
Morocco,17 June 1987
Mozambique,27 July 1992
"Myanmar, Union of",29 July 1948
Namibia,15 September 1992
Netherlands,1 January 1948
New Zealand,30 July 1948
Nicaragua,28 May 1950
Niger,31 December 1963
Nigeria,18 November 1960
Norway,10 July 1948
Pakistan,30 July 1948
Papua New Guinea,16 December 1994
Paraguay,6 January 1994
Peru,7 October 1951
Philippines,27 December 1979
Poland,18 October 1967
Portugal,6 May 1962
Qatar,7 April 1994
Romania,14 November 1971
Rwanda,1 January 1966
Senegal,27 September 1963
Sierra Leone,19 May 1961
Singapore,20 August 1973
Slovak Republic,15 April 1993
Slovenia,30 October 1994
Solomon Islands,28 December 1994
South Africa,13 June 1948
Spain,29 August 1963
Sri Lanka,29 July 1948
Saint Kitts and Nevis,24 March 1994
Saint Lucia,13 April 1993
Saint Vincent and the Grenadines,18 May 1993
Suriname,22 March 1978
"Swaziland, Kingdom of",8 February 1993
Sweden,30 April 1950
Switzerland,1 August 1966
Tanzania,9 December 1961
Thailand,20 November 1982
Togo,20 March 1964
Trinidad and Tobago,23 October 1962
Tunisia,29 August 1990
Turkey,17 October 1951
Uganda,23 October 1962
United Arab Emirates,8 March 1994
United Kingdom,1 January 1948
United States of America,1 January 1948
Uruguay,6 December 1953
Venezuela,31 August 1990
Yugoslavia,25 August 1966
Zaire,11 September 1971
Zambia,10 February 1982
Zimbabwe,11 July 1948
